date,hashtag,views,videos
2025-06-02,challenge,1603009364,154848
2025-06-02,dance,1066557900,212135
2025-06-02,funny,1148498604,178288
2025-06-02,ai,995351315,511970
2025-06-02,booktok,3422052694,372026
2025-06-02,fyp,2251823367,522771
2025-06-02,fashion,2164426043,513156
2025-06-02,sports,2373174766,470907
2025-06-02,gaming,2329683987,307195
2025-06-02,beauty,1627921544,200821
2025-06-09,challenge,930183087,311547
2025-06-09,dance,1377600148,428969
2025-06-09,funny,3139716088,370308
2025-06-09,ai,884063965,561218
2025-06-09,booktok,841243312,167386
2025-06-09,fyp,2430698828,554428
2025-06-09,fashion,2584461698,286941
2025-06-09,sports,956458943,589466
2025-06-09,gaming,2675788213,261965
2025-06-09,beauty,2610639629,589135
2025-06-16,challenge,1657893406,565147
2025-06-16,dance,3429646370,160128
2025-06-16,funny,2174820282,428517
2025-06-16,ai,1814846904,480394
2025-06-16,booktok,2099719608,258371
2025-06-16,fyp,3354444319,168802
2025-06-16,fashion,2547003861,207401
2025-06-16,sports,3081499450,498062
2025-06-16,gaming,1450779479,201761
2025-06-16,beauty,2326990519,550465
2025-06-23,challenge,2253097113,238975
2025-06-23,dance,1865973657,215353
2025-06-23,funny,2222726736,300351
2025-06-23,ai,3235961878,327212
2025-06-23,booktok,2762184190,328344
2025-06-23,fyp,967912003,212197
2025-06-23,fashion,3178370509,151367
2025-06-23,sports,2559631191,571384
2025-06-23,gaming,2044505790,441362
2025-06-23,beauty,3086960928,245182
2025-06-30,challenge,1558189197,558667
2025-06-30,dance,2640032753,387639
2025-06-30,funny,2025195621,527086
2025-06-30,ai,1815414270,510019
2025-06-30,booktok,2809794664,342296
2025-06-30,fyp,3413116999,258714
2025-06-30,fashion,2499011987,553957
2025-06-30,sports,3136592681,243513
2025-06-30,gaming,851054881,318086
2025-06-30,beauty,2107529540,238881
2025-07-07,challenge,2894190889,532441
2025-07-07,dance,1102806505,479970
2025-07-07,funny,3318615573,581661
2025-07-07,ai,1719100169,327954
2025-07-07,booktok,2381944263,214338
2025-07-07,fyp,3343765307,385917
2025-07-07,fashion,2699853328,447444
2025-07-07,sports,1460789423,349082
2025-07-07,gaming,2116990461,450158
2025-07-07,beauty,1390918659,437866
2025-07-14,challenge,2603178946,150207
2025-07-14,dance,2714459872,480999
2025-07-14,funny,1987526690,270009
2025-07-14,ai,1616338132,471469
2025-07-14,booktok,2279322828,213694
2025-07-14,fyp,1087259207,561167
2025-07-14,fashion,1554336272,244155
2025-07-14,sports,2742076973,552389
2025-07-14,gaming,1416532550,404825
2025-07-14,beauty,3354935044,597041
2025-07-21,challenge,2017301367,206374
2025-07-21,dance,1329367948,331851
2025-07-21,funny,1671372481,209116
2025-07-21,ai,3128633738,527435
2025-07-21,booktok,1394325512,195975
2025-07-21,fyp,3162877989,210187
2025-07-21,fashion,3353978321,515628
2025-07-21,sports,1360569450,519767
2025-07-21,gaming,1752985100,459119
2025-07-21,beauty,1164824428,361070
